ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"27.123.3.138","elite","AS45706","ID","PT Tele Globe Global","255","N/A","4145","socks4","4707","1","2025-04-30T15:34:09.257Z","99","9551","9662"
"158.140.173.212","elite","AS63859","ID","MYREPUBLIC","182","N/A","44550","socks4","4821","1","2025-04-30T15:34:09.253Z","84","8088","9597"
"5.9.169.87","elite","AS24940","DE","Hetzner Online GmbH","62","Enterbrain Software GmbH","30000","socks4","2710","1","2025-04-30T15:34:09.250Z","100","9604","9621"
"202.159.35.57","elite","AS9340","ID","PT IndoInternet","169","N/A","443","socks4","5093","1","2025-04-30T15:34:09.258Z","99","9523","9634"
"211.118.30.69","elite","AS3786","KR","LG DACOM Corporation","273","Boranet","1080","socks4","4837","1","2025-04-30T15:34:09.254Z","18","393","2188"
"178.63.84.228","elite","AS24940","DE","Hetzner Online GmbH","12","Hetzner","63158","socks4","3592","1","2025-04-30T15:34:09.257Z","100","830","830"
"163.172.115.17","elite","AS12876","FR","Online S.A.S.","8","ONLINE","24474","socks4","3800","1","2025-04-30T15:34:09.256Z","99","9533","9608"
"47.242.149.229","elite","AS45102","HK","Alibaba.com LLC","299","Hong Kong","443","socks5","4417","1","2025-04-30T15:34:09.256Z","78","7444","9518"
"118.173.124.103","elite","AS23969","TH","TOT Public Company Limited","219","TOT Public Company Limited","4145","socks4","4294","1","2025-04-30T15:34:09.252Z","48","4553","9578"
"43.153.71.58","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","151","Tencent Cloud Computing","443","socks4","4190","2","2025-04-30T15:34:09.249Z","91","8741","9578"
"46.243.178.3","elite","AS201282","RU","SMIT Ltd","68","LLC Smit","8888","socks4","4720","1","2025-04-30T15:34:09.341Z","100","771","773"
"119.28.149.37","elite","AS132203","KR","ComsenzNet","276","Tencent cloud computing (Beijing) Co., Ltd.","9151","socks5","3881","1","2025-04-30T15:34:09.259Z","13","1241","9550"
"176.98.95.105","elite","AS41096","UA","TOV TV&Radio Company 'TIM'","41","TOV TV&Radio Company 'TIM'","30759","socks4","3785","1","2025-04-30T15:34:09.341Z","96","9232","9658"
"116.62.240.85","elite","AS37963","CN","CNC Group CHINA169 Fujian Province Network","252","Beijing Kuancom Network Technology Co., Ltd.","7890","socks5","4901","1","2025-04-30T15:34:09.251Z","85","8175","9568"
"198.89.91.198","elite","AS21299","KZ","Kar-Tel LLC","73","Kar-Tel LLC","5678","socks4","4768","1","2025-04-30T15:33:30.244Z","89","8597","9655"
"188.165.222.158","elite","AS16276","FR","OVH SAS","19","OVH ISP","8020","socks5","3988","1","2025-04-30T15:33:30.237Z","100","2894","2894"
"103.204.54.50","elite","AS59165","IN","RB5","154","N/A","1080","socks4","1294","1","2025-04-30T15:33:30.231Z","99","2711","2741"
"45.131.6.103","elite","AS209242","BZ","Cloudflare London, LLC","3","Inter Networks","80","socks4","895","1","2025-04-30T15:33:30.242Z","100","1415","1415"
"178.254.157.214","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd-Zemun","28","Orion Telekom ISP IP network","1080","socks4","4190","1","2025-04-30T15:33:30.228Z","100","9615","9648"
"114.7.121.94","elite","AS4761","ID","PT. INDOSAT Tbk","174","PT. INDOSAT Tbk","4145","socks4","4002","1","2025-04-30T15:33:30.338Z","99","2330","2359"
"45.7.210.203","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","248","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","3676","1","2025-04-30T15:33:30.234Z","99","9513","9577"
"119.59.101.111","elite","AS56067","TH","Metrabyte Co., Ltd","196","Metrabyte Co., Ltd","80","socks4","1901","1","2025-04-30T15:33:30.251Z","99","2178","2193"
"27.72.122.228","elite","AS7552","VN","Newass2011xDSLHN","279","N/A","51067","socks4","3911","1","2025-04-30T15:33:30.248Z","98","1291","1311"
"36.90.62.85","elite","AS7713","ID","PT. Telekomunikasi Indonesia","257","Telekomunikasi Indonesia","4145","socks5","4785","1","2025-04-30T15:33:30.243Z","57","5454","9615"
"185.42.226.218","elite","AS49847","IR","Pardazeshgar Rayazma Ltd.","95","RAYNET","4000","socks4","3577","1","2025-04-30T15:33:30.339Z","57","5511","9639"
"49.0.252.39","elite","AS136907","HK","Huawei International Pte. LTD","298","N/A","1000","socks4","4391","1","2025-04-30T15:33:30.247Z","100","2571","2581"
"38.75.136.21","elite","AS63023","US","GTHost","148","Globaltelehost Corp","8881","socks4","2698","1","2025-04-30T15:33:30.236Z","100","512","512"
"51.81.186.179","elite","AS16276","US","OVH SAS","167","OVH US LLC","55282","socks4","222","1","2025-04-30T15:33:30.241Z","100","2759","2759"
"62.141.66.110","elite","AS3216","RU","COMBELNET","51","N/A","4145","socks4","4697","1","2025-04-30T15:33:30.246Z","88","2551","2907"
"138.2.116.87","elite","AS31898","KR","Oracle Corporation","225","Oracle Cloud Infrastructure (ap-chuncheon-1)","65530","socks5","3509","69","2025-04-30T15:33:30.240Z","97","2835","2912"
"185.151.146.178","elite","AS198100","US","WAP.AC LTD","250","FatDisco Ltd","1234","socks5","3282","1","2025-04-30T15:33:09.034Z","90","2616","2914"
"35.230.154.184","elite","AS396982","GB","Google LLC","14","Google Cloud (europe-west2)","3128","socks4","3819","1","2025-04-30T15:33:09.029Z","66","6350","9570"
"5.78.92.65","elite","AS212317","US","Hetzner Online GmbH","166","Hetzner Online GmbH","8080","socks4","3999","1","2025-04-30T15:33:09.037Z","100","935","939"
"94.26.229.58","elite","AS49505","RU","JSC Selectel","35","N/A","30379","socks4","2692","1","2025-04-30T15:33:09.136Z","100","2825","2825"
"104.19.235.10","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","socks5","4576","1","2025-04-30T15:33:09.035Z","100","9581","9582"
"1.231.77.174","elite","AS9318","KR","SK Broadband Co Ltd","248","broadNnet","1080","socks4","310","1","2025-04-30T15:33:09.037Z","100","9653","9682"
"5.9.167.130","elite","AS24940","DE","Hetzner","15","B&W-NetworX GmbH & Co. KG","30000","socks4","4577","1","2025-04-30T15:33:09.134Z","100","9579","9589"
"102.176.178.66","elite","AS328316","BF","Point d'Atterissement Virtuel - Burkina Faso","131","Objet PAV-BURKINA","4145","socks4","4884","1","2025-04-30T15:33:09.033Z","99","769","775"
"218.106.167.98","elite","AS4808","CN","China Unicom CncNet","165","Beijing Yuejing Corp","4145","socks4","4272","1","2025-04-30T15:33:09.133Z","94","9085","9689"
"168.228.153.1","elite","AS264939","BR","REALNET MG","172","REALNET MG","1080","socks4","2088","1","2025-04-30T15:33:09.135Z","99","1700","1712"
"37.18.73.60","elite","N/A","RU","\"Cloud Technologies\" LLC trading as Cloud.ru","52","N/A","5566","socks4","3300","1","2025-04-30T15:33:09.036Z","100","2916","2930"
"212.192.201.226","elite","AS62240","RU","Clouvider Limited","12","Qwarta LLC","64042","socks4","615","1","2025-04-30T15:33:09.137Z","100","2437","2441"
"89.38.99.28","elite","AS49981","NL","WorldStream B.V.","61","Worldstream","28997","socks4","4404","1","2025-04-30T15:33:09.135Z","100","2417","2417"
"159.69.43.215","elite","AS24940","DE","Hetzner Online GmbH","17","Hetzner","22139","socks5","2912","1","2025-04-30T15:33:09.133Z","100","9534","9540"
"23.227.39.5","elite","AS13335","CA","Cloudflare, Inc.","9","Shopify, Inc.","80","socks4","4592","1","2025-04-30T15:33:09.027Z","100","2820","2821"
"38.127.172.28","elite","AS174","US","Cogent Communications","85","Torlandia Trading SRL","11537","socks4","1696","1","2025-04-30T15:33:09.132Z","100","9611","9626"
"202.52.48.46","elite","AS46055","ID","PT ROKA LANE ASIA","167","N/A","4444","socks4","4896","1","2025-04-30T15:33:09.029Z","99","427","431"
"112.78.170.254","elite","AS17451","ID","BIZNET","182","N/A","5678","socks4","4482","1","2025-04-30T15:33:08.958Z","94","2708","2867"
"36.66.170.25","elite","AS7713","ID","PT. Telekomunikasi Indonesia","216","N/A","4153","socks4","1079","1","2025-04-30T15:33:08.964Z","96","768","803"
"182.93.80.3","elite","AS4007","NP","SUBISU D2","165","N/A","8291","socks4","4010","1","2025-04-30T15:33:08.962Z","85","2437","2865"
"43.155.139.199","elite","AS132203","KR","Shenzhen Tencent Computer Systems Company Limited","276","Tencent Cloud Computing","15673","socks5","226","1","2025-04-30T15:33:08.965Z","79","2271","2876"
"171.254.1.190","elite","AS7552","VN","Viettel Corporation","255","VIETEL","1080","socks4","2605","1","2025-04-30T15:33:08.965Z","78","1710","2206"
"208.109.13.93","elite","AS26496","JP","GoDaddy.com, LLC","242","GoDaddy.com, LLC","46481","socks4","5194","1","2025-04-30T15:33:08.959Z","100","1791","1792"
"27.75.154.105","elite","AS7552","VN","Newass2011xDSLHN","259","N/A","1080","socks4","3879","1","2025-04-30T15:33:08.957Z","71","1921","2717"
"178.45.103.191","elite","AS12389","RU","PJSC Rostelecom","64","JSC VolgaTelecom Samara branch","7788","socks5","5007","1","2025-04-30T15:33:08.951Z","57","1556","2714"
"103.12.246.177","elite","AS134941","IN","Instant Cable Network PVT LTD","176","Instant Cable Network PVT LTD","4145","socks4","4803","1","2025-04-30T15:33:08.954Z","100","2863","2875"
